Symbol|Name|LastSale|MarketCap|IPOyear|Sector|industry|Summary Quote
BIO|Bio-Rad Laboratories, Inc.|151.39|$4.41B|n/a|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/bio
BIO.B|Bio-Rad Laboratories, Inc.|n/a|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bio.b
BRLI|Bio-Reference Laboratories, Inc.|37.77|$1.05B|n/a|Health Care|Medical Specialities|http://www.nasdaq.com/symbol/brli
BIOS|BioScrip, Inc.|2.08|$142.79M|n/a|Health Care|Medical/Nursing Services|http://www.nasdaq.com/symbol/bios
BBC|BioShares Biotechnology Clinical Trials Fund|33.71|$37.08M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bbc
BBP|BioShares Biotechnology Products Fund|34.53|$31.08M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bbp
BSTC|BioSpecifics Technologies Corp|62.5601|$421.64M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/bstc
BSPM|Biostar Pharmaceuticals, Inc.|0.73|$11.3M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/bspm
BOTA|Biota Pharmaceuticals, Inc.|2.4401|$85.71M|n/a|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/bota
TECH|Bio-Techne Corp|108.95|$4.05B|n/a|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/tech
BEAT|BioTelemetry, Inc.|12.08|$326.78M|2008|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/beat
BITI|Biotie Therapies Corp.|16.98|$208.19M|2015|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/biti
BTX|BioTime, Inc.|2.92|$243.18M|n/a|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/btx
BTX.WS|BioTime, Inc.|n/a|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/btx.ws
BGI|Birks Group Inc.|0.97|$9.94M|n/a|Consumer Services|Consumer Specialties|http://www.nasdaq.com/symbol/bgi
BDMS|Birner Dental Management Services, Inc.|13.1|$24.36M|1998|Health Care|Medical/Nursing Services|http://www.nasdaq.com/symbol/bdms
BITA|Bitauto Holdings Limited|34.01|$2.15B|2010|Technology|EDP Services|http://www.nasdaq.com/symbol/bita
BJRI|BJ&#39;s Restaurants, Inc.|47.41|$1.21B|n/a|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/bjri
BBOX|Black Box Corporation|17|$261.37M|n/a|Technology|Computer Communications Equipment|http://www.nasdaq.com/symbol/bbox
BDE|Black Diamond, Inc.|9.3|$304.22M|n/a|Consumer Non-Durables|Recreational Products/Toys|http://www.nasdaq.com/symbol/bde
BKH|Black Hills Corporation|41.67|$1.87B|n/a|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/bkh
BKFS|Black Knight Financial Services, Inc.|35.1|$5.36B|2015|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/bkfs
BSM|Black Stone Minerals, L.P.|13.91|$2.66B|2015|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/bsm
BLKB|Blackbaud, Inc.|60.79|$2.85B|2004|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/blkb
BBRY|BlackBerry Limited|7.7|$4.08B|n/a|Public Utilities|Telecommunications Equipment|http://www.nasdaq.com/symbol/bbry
HAWK|Blackhawk Network Holdings, Inc.|44.63|$2.44B|2013|Finance|Finance: Consumer Services|http://www.nasdaq.com/symbol/hawk
BJZ|Blackrock California Municipal 2018 Term Trust|14.9596|$96.24M|2001|n/a|n/a|http://www.nasdaq.com/symbol/bjz
BFZ|BlackRock California Municipal Income Trust|14.64|$466.64M|2001|n/a|n/a|http://www.nasdaq.com/symbol/bfz
CII|Blackrock Capital and Income Strategies Fund Inc|15.01|$662.26M|2004|n/a|n/a|http://www.nasdaq.com/symbol/cii
BKCC|BlackRock Capital Investment Corporation|9.48|$707.9M|2007|n/a|n/a|http://www.nasdaq.com/symbol/bkcc
BHK|Blackrock Core Bond Trust|12.74|$344.51M|2001|n/a|n/a|http://www.nasdaq.com/symbol/bhk
HYT|Blackrock Corporate High Yield Fund, Inc.|10.41|$368.7M|2003|n/a|n/a|http://www.nasdaq.com/symbol/hyt
BTZ|BlackRock Credit Allocation Income Trust|12.54|$1.36B|2006|n/a|n/a|http://www.nasdaq.com/symbol/btz
DSU|Blackrock Debt Strategies Fund, Inc.|3.57|$387.07M|1998|n/a|n/a|http://www.nasdaq.com/symbol/dsu
BHL|Blackrock Defined Opportunity Credit Trust|13.1|$118.48M|2008|n/a|n/a|http://www.nasdaq.com/symbol/bhl
BGR|BlackRock Energy and Resources Trust|15.01|$446.79M|2004|n/a|n/a|http://www.nasdaq.com/symbol/bgr
BDJ|Blackrock Enhanced Equity Dividend Trust|7.9|$1.42B|2005|n/a|n/a|http://www.nasdaq.com/symbol/bdj
EGF|Blackrock Enhanced Government Fund, Inc|13.6599|$135.23M|2005|n/a|n/a|http://www.nasdaq.com/symbol/egf
FRA|Blackrock Floating Rate Income Strategies Fund Inc|13.32|$495.94M|2003|n/a|n/a|http://www.nasdaq.com/symbol/fra
BFO|Blackrock Florida Municipal 2020 Term Trust|14.82|$82.43M|2003|n/a|n/a|http://www.nasdaq.com/symbol/bfo
BGT|Blackrock Global|12.93|$305.91M|2004|n/a|n/a|http://www.nasdaq.com/symbol/bgt
BOE|Blackrock Global|13.65|$948.45M|2005|n/a|n/a|http://www.nasdaq.com/symbol/boe
BME|Blackrock Health Sciences Trust|45.74|$353.89M|2005|n/a|n/a|http://www.nasdaq.com/symbol/bme
BAF|BlackRock Income Investment Quality Trust|14.015|$122.62M|2002|n/a|n/a|http://www.nasdaq.com/symbol/baf
BKT|BlackRock Income Trust Inc. (The)|6.36|$406.67M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bkt
BGY|BLACKROCK INTERNATIONAL, LTD.|7.02|$772.12M|2007|n/a|n/a|http://www.nasdaq.com/symbol/bgy
BKN|BlackRock Investment Quality Municipal Trust Inc. (The)|15.03|$257.86M|1993|n/a|n/a|http://www.nasdaq.com/symbol/bkn
BTA|BlackRock Long-Term Municipal Advantage Trust|11.06|$148.45M|2006|n/a|n/a|http://www.nasdaq.com/symbol/bta
BZM|BlackRock Maryland Municipal Bond Trust|14.74|$30.58M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bzm
MHE|BlackRock Massachusetts Tax-Exempt Trust|13.28|$31.4M|1993|n/a|n/a|http://www.nasdaq.com/symbol/mhe
BIT|BlackRock Multi-Sector Income Trust|16.58|n/a|2013|n/a|n/a|http://www.nasdaq.com/symbol/bit
MUI|Blackrock Muni Intermediate Duration Fund Inc|13.85|$528.93M|2003|n/a|n/a|http://www.nasdaq.com/symbol/mui
MNE|Blackrock Muni New York Intermediate Duration Fund Inc|14.07|$59.18M|2003|n/a|n/a|http://www.nasdaq.com/symbol/mne
MUA|Blackrock MuniAssets Fund, Inc.|13.73|$491.31M|1993|n/a|n/a|http://www.nasdaq.com/symbol/mua
BPK|Blackrock Municipal 2018 Term Trust|15.64|$248.8M|2001|n/a|n/a|http://www.nasdaq.com/symbol/bpk
BKK|Blackrock Municipal 2020 Term Trust|15.65|$316.7M|2003|n/a|n/a|http://www.nasdaq.com/symbol/bkk
BIE|Blackrock Municipal Bond Investment Trust|14.24|$47.54M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bie
BBK|Blackrock Municipal Bond Trust|15.4|$161.87M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bbk
BBF|BlackRock Municipal Income Investment Trust|13.37|$89.64M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bbf
BYM|Blackrock Municipal Income Quality Trust|13.75|$363.09M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bym
BFK|BlackRock Municipal Income Trust|13.81|$617.78M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bfk
BLE|BlackRock Municipal Income Trust II|14.2|$333.28M|2002|n/a|n/a|http://www.nasdaq.com/symbol/ble
BTT|BlackRock Municipal Target Term Trust Inc. (The)|20.51|$1.45B|2012|n/a|n/a|http://www.nasdaq.com/symbol/btt
MEN|Blackrock MuniEnhanced Fund, Inc.|11.13|$328.23M|1989|n/a|n/a|http://www.nasdaq.com/symbol/men
MUC|Blackrock MuniHoldings California Quality Fund,  Inc.|14.42|$589.64M|1998|n/a|n/a|http://www.nasdaq.com/symbol/muc
MUH|Blackrock MuniHoldings Fund II, Inc.|14.73|$166.02M|1998|n/a|n/a|http://www.nasdaq.com/symbol/muh
MHD|Blackrock MuniHoldings Fund, Inc.|16.33|$229.99M|1997|n/a|n/a|http://www.nasdaq.com/symbol/mhd
MFL|Blackrock MuniHoldings Investment Quality Fund|14.2|$536.22M|1997|n/a|n/a|http://www.nasdaq.com/symbol/mfl
MUJ|Blackrock MuniHoldings New Jersey Insured Fund, Inc.|13.6|$289.35M|1998|n/a|n/a|http://www.nasdaq.com/symbol/muj
MHN|Blackrock MuniHoldings New York Quality Fund, Inc.|13.87|$430.4M|1997|n/a|n/a|http://www.nasdaq.com/symbol/mhn
MUE|Blackrock MuniHoldings Quality Fund II, Inc.|13.03|$292.75M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/mue
MUS|Blackrock MuniHoldings Quality Fund, Inc.|12.84|$166.85M|1998|n/a|n/a|http://www.nasdaq.com/symbol/mus
MVT|Blackrock MuniVest Fund II, Inc.|15.06|$314.14M|1993|n/a|n/a|http://www.nasdaq.com/symbol/mvt
MYC|Blackrock MuniYield California Fund, Inc.|15.64|$333.06M|1992|n/a|n/a|http://www.nasdaq.com/symbol/myc
MCA|Blackrock MuniYield California Insured Fund, Inc.|14.748|$506.76M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mca
MYD|Blackrock MuniYield Fund, Inc.|14.3|$663.99M|1991|n/a|n/a|http://www.nasdaq.com/symbol/myd
MYF|Blackrock MuniYield Investment Fund|14.83|$201.74M|1992|n/a|n/a|http://www.nasdaq.com/symbol/myf
MFT|Blackrock MuniYield Investment QualityFund|13.19|$111.68M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mft
MYM|Blackrock MuniYield Michigan Quality Fund II, Inc.|12.51|$151.28M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mym
MIY|Blackrock MuniYield Michigan Quality Fund, Inc.|13.23|$241.04M|1992|n/a|n/a|http://www.nasdaq.com/symbol/miy
MYJ|Blackrock MuniYield New Jersey Fund, Inc.|14.74|$209.73M|1992|n/a|n/a|http://www.nasdaq.com/symbol/myj
MYN|Blackrock MuniYield New York Quality Fund, Inc.|13.11|$517.32M|1992|n/a|n/a|http://www.nasdaq.com/symbol/myn
MPA|Blackrock MuniYield Pennsylvania Quality Fund|13.52|$155.49M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mpa
MQT|Blackrock MuniYield Quality Fund II, Inc.|12.61|$283.98M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mqt
MYI|Blackrock MuniYield Quality Fund III, Inc.|14.14|$956.44M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/myi
MQY|Blackrock MuniYield Quality Fund, Inc.|15.4|$471.06M|1992|n/a|n/a|http://www.nasdaq.com/symbol/mqy
BLJ|Blackrock New Jersey Municipal Bond Trust|14.19|$32.99M|2002|n/a|n/a|http://www.nasdaq.com/symbol/blj
BNJ|BlackRock New Jersey Municipal Income Trust|14.431|$110.49M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bnj
BNY|BlackRock New York Investment Quality Municipal Trust Inc. (Th|14.43|$186.31M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bny
BLH|Blackrock New York Municipal 2018 Term Trust|15|$54.5M|2001|n/a|n/a|http://www.nasdaq.com/symbol/blh
BQH|Blackrock New York Municipal Bond Trust|13.91|$38.95M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bqh
BSE|Blackrock New York Municipal Income Quality Trust|13.1003|$85.41M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bse
BFY|BlackRock New York Municipal Income Trust II|14.66|$73.28M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bfy
BCX|BlackRock Resources|8.34|$388.44M|2011|n/a|n/a|http://www.nasdaq.com/symbol/bcx
BST|BlackRock Science and Technology Trust|17.71|n/a|2014|n/a|n/a|http://www.nasdaq.com/symbol/bst
BSD|BlackRock Strategic Municipal Trust Inc. (The)|13.45|$98.25M|1999|n/a|n/a|http://www.nasdaq.com/symbol/bsd
BUI|BlackRock Utility and Infrastructure Trust|18.1997|$307.7M|2011|n/a|n/a|http://www.nasdaq.com/symbol/bui
BHV|BlackRock Virginia Municipal Bond Trust|16.3792|$26.07M|2002|n/a|n/a|http://www.nasdaq.com/symbol/bhv
BLK|BlackRock, Inc.|335.59|$55.24B|1999|Finance|Investment Bankers/Brokers/Service|http://www.nasdaq.com/symbol/blk
BGB|Blackstone / GSO Strategic Credit Fund|15.15|$676.67M|2012|n/a|n/a|http://www.nasdaq.com/symbol/bgb
BGX|Blackstone GSO Long Short Credit Income Fund|15.15|$192.44M|2011|n/a|n/a|http://www.nasdaq.com/symbol/bgx
BSL|Blackstone GSO Senior Floating Rate Term Fund|16.51|$251.2M|2010|n/a|n/a|http://www.nasdaq.com/symbol/bsl
ADRA|BLDRS Asia 50 ADR Index Fund|29.67|$26.7M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adra
ADRD|BLDRS Developed Markets 100 ADR Index Fund|24.1011|$75.92M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adrd
ADRE|BLDRS Emerging Markets 50 ADR Index Fund|32.94|$161.41M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adre
ADRU|BLDRS Europe 100 ADR Index Fund|23.7468|$17.81M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adru
BDR|Blonder Tongue Laboratories, Inc.|0.8115|$5.08M|n/a|Technology|Radio And Television Broadcasting And Communications Equipment|http://www.nasdaq.com/symbol/bdr
BLMN|Bloomin&#39; Brands, Inc.|21.91|$2.69B|2012|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/blmn
BLT|Blount International, Inc.|7.61|$370.06M|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/blt
BCOR|Blucora, Inc.|13.88|$568.57M|n/a|Technology|EDP Services|http://www.nasdaq.com/symbol/bcor
BLBD|Blue Bird Corporation|13.09|$272.11M|2014|Capital Goods|Construction/Ag Equipment/Trucks|http://www.nasdaq.com/symbol/blbd
BUFF|Blue Buffalo Pet Products, Inc.|28.45|$5.58B|2015|Consumer Non-Durables|Packaged Foods|http://www.nasdaq.com/symbol/buff
BCRH|Blue Capital Reinsurance Holdings Ltd.|16.19|$141.7M|2013|Finance|Property-Casualty Insurers|http://www.nasdaq.com/symbol/bcrh
BBLU|Blue Earth, Inc.|0.86|$79.86M|n/a|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/bblu
BHBK|Blue Hills Bancorp, Inc.|14.42|$410.49M|2014|Finance|Major Banks|http://www.nasdaq.com/symbol/bhbk
NILE|Blue Nile, Inc.|33.34|$395.67M|2004|Consumer Services|Consumer Specialties|http://www.nasdaq.com/symbol/nile
BLUE|bluebird bio, Inc.|139.23|$4.98B|2013|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/blue
BKEP|Blueknight Energy Partners L.P., L.L.C.|6.87|$226.13M|2011|Energy|Natural Gas Distribution|http://www.nasdaq.com/symbol/bkep
BKEPP|Blueknight Energy Partners L.P., L.L.C.|7.55|$227.7M|n/a|Energy|Natural Gas Distribution|http://www.nasdaq.com/symbol/bkepp
BXC|BlueLinx Holdings Inc.|0.99|$88.51M|2004|Capital Goods|Wholesale Distributors|http://www.nasdaq.com/symbol/bxc
BPMC|Blueprint Medicines Corporation|26.98|$731.47M|2015|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/bpmc
BRG|Bluerock Residential Growth REIT, Inc.|11.66|$219.77M|2014|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/brg
BTH|Blyth, Inc.|3.92|$63.26M|1994|Consumer Durables|Miscellaneous manufacturing industries|http://www.nasdaq.com/symbol/bth
BNCN|BNC Bancorp|22.63|$862.65M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bncn
BWP|Boardwalk Pipeline Partners L.P.|13.35|$3.34B|2005|Public Utilities|Natural Gas Distribution|http://www.nasdaq.com/symbol/bwp
BOBE|Bob Evans Farms, Inc.|46.77|$1.04B|n/a|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/bobe
BA|Boeing Company (The)|145.86|$99.11B|n/a|Capital Goods|Aerospace|http://www.nasdaq.com/symbol/ba
BOFI|BofI Holding, Inc.|130.48|$2B|2005|Finance|Savings Institutions|http://www.nasdaq.com/symbol/bofi
WIFI|Boingo Wireless, Inc.|9.7|$355.27M|2011|Consumer Services|Telecommunications Equipment|http://www.nasdaq.com/symbol/wifi
BCC|Boise Cascade, L.L.C.|32.09|$1.26B|2013|Consumer Services|RETAIL: Building Materials|http://www.nasdaq.com/symbol/bcc
BOJA|Bojangles&#39;, Inc.|24.06|$864.98M|2015|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/boja
BOKF|BOK Financial Corporation|67.76|$4.67B|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bokf
BONA|Bona Film Group Limited|11.86|$726.23M|2010|Consumer Services|Movies/Entertainment|http://www.nasdaq.com/symbol/bona
BCEI|Bonanza Creek Energy, Inc.|8.12|$403.96M|2011|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/bcei
BNSO|Bonso Electronics International, Inc.|1.28|$6.72M|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/bnso
BAMM|Books-A-Million, Inc.|3.22|$49.72M|1992|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/bamm
BOOT|Boot Barn Holdings, Inc.|26.13|$683M|2014|Consumer Services|Clothing/Shoe/Accessory Stores|http://www.nasdaq.com/symbol/boot
BAH|Booz Allen Hamilton Holding Corporation|26.75|$3.93B|2010|Consumer Services|Professional Services|http://www.nasdaq.com/symbol/bah
BWA|BorgWarner Inc.|48.39|$10.95B|n/a|Capital Goods|Auto Parts:O.E.M.|http://www.nasdaq.com/symbol/bwa
SAM|Boston Beer Company, Inc. (The)|234.68|$3.09B|n/a|Consumer Non-Durables|Beverages (Production/Distribution)|http://www.nasdaq.com/symbol/sam
BPFH|Boston Private Financial Holdings, Inc.|12.67|$1.06B|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bpfh
BPFHP|Boston Private Financial Holdings, Inc.|25.8|n/a|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bpfhp
BPFHW|Boston Private Financial Holdings, Inc.|5.64|n/a|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bpfhw
BXP|Boston Properties, Inc.|119.74|$18.37B|1997|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/bxp
BXP^B|Boston Properties, Inc.|24.77|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bxp^b
BSX|Boston Scientific Corporation|17.33|$23.29B|n/a|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/bsx
EPAY|Bottomline Technologies, Inc.|27.28|$1.12B|1999|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/epay
BDBD|Boulder Brands, Inc.|9.04|$555.3M|n/a|Consumer Non-Durables|Packaged Foods|http://www.nasdaq.com/symbol/bdbd
BVX|Bovie Medical Corporation|2.32|$55.61M|n/a|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/bvx
BWL.A|Bowl America, Inc.|n/a|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bwl.a
TEU|Box Ships Inc.|0.78|$24.28M|2011|Transportation|Marine Transportation|http://www.nasdaq.com/symbol/teu
TEU^C|Box Ships Inc.|18.24|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/teu^c
BOX|Box, Inc.|15.27|$1.85B|2015|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/box
BYD|Boyd Gaming Corporation|17.01|$1.89B|1993|Consumer Services|Hotels/Resorts|http://www.nasdaq.com/symbol/byd
BP|BP p.l.c.|36.28|$120.97B|n/a|Energy|Integrated oil Companies|http://www.nasdaq.com/symbol/bp
BPT|BP Prudhoe Bay Royalty Trust|49.59|$1.06B|n/a|Energy|Integrated oil Companies|http://www.nasdaq.com/symbol/bpt
BERY|BPC Acquisition Corp|29.36|$3.52B|2012|Consumer Non-Durables|Plastic Products|http://www.nasdaq.com/symbol/bery
BRC|Brady Corporation|23.53|$1.21B|n/a|Consumer Durables|Miscellaneous manufacturing industries|http://www.nasdaq.com/symbol/brc
BCLI|Brainstorm Cell Therapeutics Inc.|2.89|$53.41M|n/a|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/bcli
BDN^E|Brandywine Realty Tr|26.18|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bdn^e
BDN|Brandywine Realty Trust|13.59|$2.44B|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/bdn
LND|Brasilagro Cia Brasileira De Propriedades Agricolas|3.229|$188.01M|n/a|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/lnd
BAK|Braskem S.A.|7.78|$3.1B|n/a|Basic Industries|Major Chemicals|http://www.nasdaq.com/symbol/bak
BBRG|Bravo Brio Restaurant Group, Inc.|12.93|$196.51M|2010|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/bbrg
BZC|Breeze-Eastern Corporation|12.59|$124.13M|n/a|Capital Goods|Military/Government/Technical|http://www.nasdaq.com/symbol/bzc
BBEP|Breitburn Energy Partners LP|3.12|$660.57M|2006|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/bbep
BBEPP|Breitburn Energy Partners LP|16.11|$128.88M|n/a|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/bbepp
BRFS|BRF S.A.|20.57|$17.43B|n/a|Consumer Non-Durables|Meat/Poultry/Fish|http://www.nasdaq.com/symbol/brfs
BDGE|Bridge Bancorp, Inc.|27.45|$321.44M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bdge
BLIN          |Bridgeline Digital, Inc.|1.36|$6.04M|n/a|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/blin          
BPI|Bridgepoint Education, Inc.|8.51|$389.18M|2009|Consumer Services|Other Consumer Services|http://www.nasdaq.com/symbol/bpi
BRID|Bridgford Foods Corporation|8.06|$73.33M|n/a|Consumer Non-Durables|Specialty Foods|http://www.nasdaq.com/symbol/brid
BGG|Briggs & Stratton Corporation|18.31|$816.62M|n/a|Energy|Industrial Machinery/Components|http://www.nasdaq.com/symbol/bgg
BFAM|Bright Horizons Family Solutions Inc.|62.08|$3.84B|2013|Miscellaneous|Other Consumer Services|http://www.nasdaq.com/symbol/bfam
BCOV|Brightcove Inc.|5.68|$185.07M|2012|Technology|EDP Services|http://www.nasdaq.com/symbol/bcov
EAT|Brinker International, Inc.|55.5|$3.39B|n/a|Consumer Services|Restaurants|http://www.nasdaq.com/symbol/eat
BCO|Brink&#39;s Company (The)|30.39|$1.48B|n/a|Transportation|Oil Refining/Marketing|http://www.nasdaq.com/symbol/bco
BMY|Bristol-Myers Squibb Company|63.89|$106.54B|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/bmy
BRS|Bristow Group Inc|44.25|$1.55B|n/a|Transportation|Transportation Services|http://www.nasdaq.com/symbol/brs
BTI|British American Tobacco p.l.c.|119.14|$111.05B|n/a|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/bti
BRX|Brixmor Property Group Inc.|24.44|$7.3B|2013|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/brx
BRCM|Broadcom Corporation|51.47|$31.24B|1998|Technology|Semiconductors|http://www.nasdaq.com/symbol/brcm
BR|Broadridge Financial Solutions, Inc.|57.13|$6.85B|n/a|Miscellaneous|Business Services|http://www.nasdaq.com/symbol/br
BSFT|BroadSoft, Inc.|34.76|$1.02B|2010|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/bsft
BVSN|BroadVision, Inc.|5.71|$27.68M|1996|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/bvsn
BYFC|Broadway Financial Corporation|1.29|$37.51M|n/a|Finance|Savings Institutions|http://www.nasdaq.com/symbol/byfc
BWEN|Broadwind Energy, Inc.|3.6|$52.85M|n/a|Capital Goods|Metal Fabrications|http://www.nasdaq.com/symbol/bwen
BRCD|Brocade Communications Systems, Inc.|10.46|$4.34B|1999|Technology|Computer Communications Equipment|http://www.nasdaq.com/symbol/brcd
BKD|Brookdale Senior Living Inc.|29.16|$5.49B|2005|Health Care|Hospital/Nursing Management|http://www.nasdaq.com/symbol/bkd
BAM|Brookfield Asset Management Inc|34.73|$34.06B|n/a|Consumer Services|Building operators|http://www.nasdaq.com/symbol/bam
BOXC|Brookfield Canada Office Properties|19.75|$518.39M|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/boxc
DTLA^|Brookfield DTLA Inc.|22.7999|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/dtla^
INF|Brookfield Global Listed Infrastructure Income Fund|14.886|$154M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/inf
HHY|Brookfield High Income Fund Inc.|7.72|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/hhy
BIP|Brookfield Infrastructure Partners LP|42.24|$6.91B|n/a|Consumer Services|Marine Transportation|http://www.nasdaq.com/symbol/bip
BOI|Brookfield Mortgage Opportunity Income Fund Inc.|15.28|n/a|2013|n/a|n/a|http://www.nasdaq.com/symbol/boi
BPY|Brookfield Property Partners L.P.|22.6|$5.94B|n/a|Finance|Real Estate|http://www.nasdaq.com/symbol/bpy
BEP|Brookfield Renewable Powerr Fund|28.82|$4.13B|n/a|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/bep
HTR|Brookfield Total Return Fund Inc.|22.85|$319M|1989|n/a|n/a|http://www.nasdaq.com/symbol/htr
BRKL|Brookline Bancorp, Inc.|11.15|$781.05M|n/a|Finance|Savings Institutions|http://www.nasdaq.com/symbol/brkl
BRKS|Brooks Automation, Inc.|11.44|$772.09M|1995|Technology|Industrial Machinery/Components|http://www.nasdaq.com/symbol/brks
BRO|Brown & Brown, Inc.|34.12|$4.81B|n/a|Finance|Specialty Insurers|http://www.nasdaq.com/symbol/bro
BF.A|Brown Forman Corporation|n/a|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bf.a
BF.B|Brown Forman Corporation|n/a|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/bf.b
BRT|BRT Realty Trust|7.02|$98.99M|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/brt
BRKR|Bruker Corporation|20.18|$3.41B|n/a|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/brkr
BC|Brunswick Corporation|53.62|$4.93B|n/a|Energy|Industrial Machinery/Components|http://www.nasdaq.com/symbol/bc
BMTC|Bryn Mawr Bank Corporation|29.48|$524.75M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/bmtc
